family,id,name,cost,baseIncome,synergyTypes,upgradePath,maxLevel,reputationPerTurn,synergyCoinBonus,synergyRepBonus,description,tier,trigger,effect,target,targetSynergy,coinDelta,reputationDelta,duration,effectType,multiplier,targetBusiness,incomeBonus,synergyRangeBonus,requiredLevel,reputationBonus,newDisplayName,ongoingCost,handSlotsAdded,refreshCostDiscount,actionsPerTurn,peekOncePerTurn,art_notes
business,biz-bakery,Bakery,300,230,Food,Bakery,2,5,,,Provides warm pastries. Gains {SYNERGY_RATE} of base income per adjacent Food business.,1,,,,,,,,,,,,,,,,75,,,,,"A golden bread roll with a scored top, steam rising in three wavy lines."
business,biz-diner,Diner,300,230,Food,Diner,2,5,,,Serves quick meals. Gains {SYNERGY_RATE} of base income per adjacent Food business.,1,,,,,,,,,,,,,,,,75,,,,,A chrome milkshake glass with a red-and-white striped straw and whipped cream on top.
business,biz-bookshop,Bookshop,300,230,Culture,Bookshop,1,5,,,Sells books. Gains {SYNERGY_RATE} of base income per adjacent Culture business.,1,,,,,,,,,,,,,,,,75,,,,,An open hardcover book with visible text lines and a blue bookmark ribbon hanging from the page edge.
business,biz-hardware,Hardware Store,300,230,Service,Hardware Store,1,5,,,Supplies tools. Gains {SYNERGY_RATE} of base income per adjacent Service business.,2,,,,,,,,,,,,,,,,75,,,,,A red-handled claw hammer resting diagonally across a silver wrench.
business,biz-pawnshop,Pawn Shop,300,230,Commerce,Pawn Shop,1,5,0,0,Trades second-hand goods. Does not provide or receive synergy bonuses.,2,,,,,,,,,,,,,,,,75,,,,,A gold diamond ring perched on a green velvet jewellery display stand.
business,biz-boutique,Boutique,300,230,Commerce,Boutique,1,5,,,Sells curated fashion. Gains {SYNERGY_RATE} of base income per adjacent Commerce business.,2,,,,,,,,,,,,,,,,75,,,,,A wooden hanger with a red ribbon bow hanging from its center notch.
business,biz-laundromat,Laundromat,400,290,Service,Laundromat,1,5,,,Provides self-serve laundry. Gains {SYNERGY_RATE} of base income per adjacent Service business.,1,,,,,,,,,,,,,,,,100,,,,,A stack of three folded white towels with a golden coin on top.
business,biz-barbershop,Barbershop,500,400,Service,Barbershop,1,8,,,Classic cuts and conversation. Gains {SYNERGY_RATE} of base income per adjacent Service business.,4,,,,,,,,,,,,,,,,125,,,,,A classic red-white-blue barber-pole spiral cylinder with a chrome wall bracket and spinning white light at its center.
business,biz-arcade,Arcade,400,290,Entertainment,Arcade,1,5,,,Retro fun for all ages. Gains {SYNERGY_RATE} of base income per adjacent Entertainment business.,3,,,,,,,,,,,,,,,,100,,,,,A retro joystick with a red ball-top and two white buttons on a black base.
business,biz-cinema,Cinema,500,350,Entertainment,Cinema,2,8,,,Shows the latest films. Gains {SYNERGY_RATE} of base income per adjacent Entertainment business.,5,,,,,,,,,,,,,,,,125,,,,,A silver movie film strip curled into a loop with a red film reel in the center.
business,biz-cafe,Cafe,700,520,Food|Culture,Cafe,1,10,,,Coffee and conversation. Bridges Food and Culture synergies.,8,,,,,,,,,,,,,,,,175,,,,,"A white ceramic coffee cup with a heart drawn in the crema, steam curling upward."
business,biz-food-truck,Food Truck,400,290,Food|Entertainment,Food Truck,1,5,,,Street eats with flair. Bridges Food and Entertainment synergies.,4,,,,,,,,,,,,,,,,100,,,,,A folded yellow flag waving from a small antenna on a food-cart roof.
business,biz-gallery,Art Gallery,1400,940,Culture|Entertainment,Art Gallery,1,25,0.5,10,Showcases local artists. Bridges Culture and Entertainment synergies.,12,,,,,,,,,,,,,,,,350,,,,,A blank white painter's easel with a blue palette holding five dabs of colour.
business,biz-spa,Day Spa,1400,940,Service|Entertainment,Day Spa,2,25,0.5,10,Relaxation and pampering. Bridges Service and Entertainment synergies.,11,,,,,,,,,,,,,,,,350,,,,,A smooth grey stone with a sprig of green eucalyptus leaves balanced on top.
business,biz-florist,Florist,500,350,Commerce|Culture,Florist,1,10,,,Beautiful arrangements for every occasion. Bridges Commerce and Culture synergies.,5,,,,,,,,,,,,,,,,125,,,,,A single red rose in full bloom wrapped in brown kraft paper.
business,biz-clinic,Clinic,900,0,Health,Clinic,1,40,0.5,10,Walk-in medical care for the community. Provides +20 reputation per turn. Gains {SYNERGY_RATE} of base income per adjacent Health business.,10,,,,,,,,,,,,,,,,50,,,,,A white medical cross inside a blue circle with a stethoscope draped over it.
business,biz-private-clinic,Private Clinic,1400,1090,Health,Private Clinic,1,25,0.5,10,A private medical practice focused on profitability. Gains {SYNERGY_RATE} of base income per adjacent Health business.,12,,,,,,,,,,,,,,,,350,,,,,A gold-framed door sign with the word PRIVATE and a small green laurel wreath.
